date,season,year,month,weather,casual,registered,total
2011-01-01,Spring,2011,Jan,Mist,331,654,985
2011-01-02,Spring,2011,Jan,Mist,131,670,801
2011-01-03,Spring,2011,Jan,Clear,120,1229,1349
2011-01-04,Spring,2011,Jan,Clear,108,1454,1562
2011-01-05,Spring,2011,Jan,Clear,82,1518,1600
2011-01-06,Spring,2011,Jan,Clear,88,1518,1606
2011-01-07,Spring,2011,Jan,Mist,148,1362,1510
2011-01-08,Spring,2011,Jan,Mist,68,891,959
2011-01-09,Spring,2011,Jan,Clear,54,768,822
2011-01-10,Spring,2011,Jan,Clear,41,1280,1321
2011-01-11,Spring,2011,Jan,Mist,43,1220,1263
2011-01-12,Spring,2011,Jan,Clear,25,1137,1162
2011-01-13,Spring,2011,Jan,Clear,38,1368,1406
2011-01-14,Spring,2011,Jan,Clear,54,1367,1421
2011-01-15,Spring,2011,Jan,Mist,222,1026,1248
2011-01-16,Spring,2011,Jan,Clear,251,953,1204
2011-01-17,Spring,2011,Jan,Mist,117,883,1000
2011-01-18,Spring,2011,Jan,Mist,9,674,683
2011-01-19,Spring,2011,Jan,Mist,78,1572,1650
2011-01-20,Spring,2011,Jan,Mist,83,1844,1927
2011-01-21,Spring,2011,Jan,Clear,75,1468,1543
2011-01-22,Spring,2011,Jan,Clear,93,888,981
2011-01-23,Spring,2011,Jan,Clear,150,836,986
2011-01-24,Spring,2011,Jan,Clear,86,1330,1416
2011-01-25,Spring,2011,Jan,Mist,186,1799,1985
2011-01-26,Spring,2011,Jan,Light Rain/Snow,34,472,506
2011-01-27,Spring,2011,Jan,Clear,15,416,431
2011-01-28,Spring,2011,Jan,Mist,38,1129,1167
2011-01-29,Spring,2011,Jan,Clear,123,975,1098
2011-01-30,Spring,2011,Jan,Clear,140,956,1096
2011-01-31,Spring,2011,Jan,Mist,42,1459,1501
2011-02-01,Spring,2011,Feb,Mist,47,1313,1360
2011-02-02,Spring,2011,Feb,Mist,72,1454,1526
2011-02-03,Spring,2011,Feb,Clear,61,1489,1550
2011-02-04,Spring,2011,Feb,Mist,88,1620,1708
2011-02-05,Spring,2011,Feb,Mist,100,905,1005
2011-02-06,Spring,2011,Feb,Clear,354,1269,1623
2011-02-07,Spring,2011,Feb,Clear,120,1592,1712
2011-02-08,Spring,2011,Feb,Clear,64,1466,1530
2011-02-09,Spring,2011,Feb,Mist,53,1552,1605
2011-02-10,Spring,2011,Feb,Clear,47,1491,1538
2011-02-11,Spring,2011,Feb,Clear,149,1597,1746
2011-02-12,Spring,2011,Feb,Clear,288,1184,1472
2011-02-13,Spring,2011,Feb,Clear,397,1192,1589
2011-02-14,Spring,2011,Feb,Clear,208,1705,1913
2011-02-15,Spring,2011,Feb,Clear,140,1675,1815
2011-02-16,Spring,2011,Feb,Clear,218,1897,2115
2011-02-17,Spring,2011,Feb,Clear,259,2216,2475
