date,season,year,month,hour,workingday,total,time_category
2011-01-01,Spring,2011,Jan,0,0,16,Night
2011-01-01,Spring,2011,Jan,1,0,40,Night
2011-01-01,Spring,2011,Jan,2,0,32,Night
2011-01-01,Spring,2011,Jan,3,0,13,Night
2011-01-01,Spring,2011,Jan,4,0,1,Night
2011-01-01,Spring,2011,Jan,5,0,1,Night
2011-01-01,Spring,2011,Jan,6,0,2,Morning
2011-01-01,Spring,2011,Jan,7,0,3,Morning
2011-01-01,Spring,2011,Jan,8,0,8,Morning
2011-01-01,Spring,2011,Jan,9,0,14,Morning
2011-01-01,Spring,2011,Jan,10,0,36,Afternoon
2011-01-01,Spring,2011,Jan,11,0,56,Afternoon
2011-01-01,Spring,2011,Jan,12,0,84,Afternoon
2011-01-01,Spring,2011,Jan,13,0,94,Afternoon
2011-01-01,Spring,2011,Jan,14,0,106,Afternoon
2011-01-01,Spring,2011,Jan,15,0,110,Afternoon
2011-01-01,Spring,2011,Jan,16,0,93,Evening
2011-01-01,Spring,2011,Jan,17,0,67,Evening
2011-01-01,Spring,2011,Jan,18,0,35,Evening
2011-01-01,Spring,2011,Jan,19,0,37,Evening
2011-01-01,Spring,2011,Jan,20,0,36,Night
2011-01-01,Spring,2011,Jan,21,0,34,Night
2011-01-01,Spring,2011,Jan,22,0,28,Night
2011-01-01,Spring,2011,Jan,23,0,39,Night
2011-01-02,Spring,2011,Jan,0,0,17,Night
2011-01-02,Spring,2011,Jan,1,0,17,Night
2011-01-02,Spring,2011,Jan,2,0,9,Night
2011-01-02,Spring,2011,Jan,3,0,6,Night
2011-01-02,Spring,2011,Jan,4,0,3,Night
2011-01-02,Spring,2011,Jan,6,0,2,Morning
2011-01-02,Spring,2011,Jan,7,0,1,Morning
2011-01-02,Spring,2011,Jan,8,0,8,Morning
2011-01-02,Spring,2011,Jan,9,0,20,Morning
2011-01-02,Spring,2011,Jan,10,0,53,Afternoon
2011-01-02,Spring,2011,Jan,11,0,70,Afternoon
2011-01-02,Spring,2011,Jan,12,0,93,Afternoon
2011-01-02,Spring,2011,Jan,13,0,75,Afternoon
2011-01-02,Spring,2011,Jan,14,0,59,Afternoon
2011-01-02,Spring,2011,Jan,15,0,74,Afternoon
2011-01-02,Spring,2011,Jan,16,0,76,Evening
2011-01-02,Spring,2011,Jan,17,0,65,Evening
2011-01-02,Spring,2011,Jan,18,0,53,Evening
2011-01-02,Spring,2011,Jan,19,0,30,Evening
2011-01-02,Spring,2011,Jan,20,0,22,Night
2011-01-02,Spring,2011,Jan,21,0,31,Night
2011-01-02,Spring,2011,Jan,22,0,9,Night
2011-01-02,Spring,2011,Jan,23,0,8,Night
2011-01-03,Spring,2011,Jan,0,1,5,Night
2011-01-03,Spring,2011,Jan,1,1,2,Night
2011-01-03,Spring,2011,Jan,4,1,1,Night
2011-01-03,Spring,2011,Jan,5,1,3,Night
2011-01-03,Spring,2011,Jan,6,1,30,Morning
2011-01-03,Spring,2011,Jan,7,1,64,Morning
2011-01-03,Spring,2011,Jan,8,1,154,Morning
2011-01-03,Spring,2011,Jan,9,1,88,Morning
2011-01-03,Spring,2011,Jan,10,1,44,Afternoon
2011-01-03,Spring,2011,Jan,11,1,51,Afternoon
2011-01-03,Spring,2011,Jan,12,1,61,Afternoon
2011-01-03,Spring,2011,Jan,13,1,61,Afternoon
2011-01-03,Spring,2011,Jan,14,1,77,Afternoon
2011-01-03,Spring,2011,Jan,15,1,72,Afternoon
2011-01-03,Spring,2011,Jan,16,1,76,Evening
2011-01-03,Spring,2011,Jan,17,1,157,Evening
2011-01-03,Spring,2011,Jan,18,1,157,Evening
2011-01-03,Spring,2011,Jan,19,1,110,Evening
2011-01-03,Spring,2011,Jan,20,1,52,Night
2011-01-03,Spring,2011,Jan,21,1,52,Night
2011-01-03,Spring,2011,Jan,22,1,20,Night
2011-01-03,Spring,2011,Jan,23,1,12,Night
2011-01-04,Spring,2011,Jan,0,1,5,Night
2011-01-04,Spring,2011,Jan,1,1,2,Night
2011-01-04,Spring,2011,Jan,2,1,1,Night
2011-01-04,Spring,2011,Jan,4,1,2,Night
2011-01-04,Spring,2011,Jan,5,1,4,Night
2011-01-04,Spring,2011,Jan,6,1,36,Morning
2011-01-04,Spring,2011,Jan,7,1,94,Morning
2011-01-04,Spring,2011,Jan,8,1,179,Morning
2011-01-04,Spring,2011,Jan,9,1,100,Morning
2011-01-04,Spring,2011,Jan,10,1,42,Afternoon
2011-01-04,Spring,2011,Jan,11,1,57,Afternoon
2011-01-04,Spring,2011,Jan,12,1,78,Afternoon
2011-01-04,Spring,2011,Jan,13,1,97,Afternoon
2011-01-04,Spring,2011,Jan,14,1,63,Afternoon
2011-01-04,Spring,2011,Jan,15,1,65,Afternoon
2011-01-04,Spring,2011,Jan,16,1,83,Evening
2011-01-04,Spring,2011,Jan,17,1,212,Evening
2011-01-04,Spring,2011,Jan,18,1,182,Evening
2011-01-04,Spring,2011,Jan,19,1,112,Evening
2011-01-04,Spring,2011,Jan,20,1,54,Night
2011-01-04,Spring,2011,Jan,21,1,48,Night
2011-01-04,Spring,2011,Jan,22,1,35,Night
2011-01-04,Spring,2011,Jan,23,1,11,Night
2011-01-05,Spring,2011,Jan,0,1,6,Night
2011-01-05,Spring,2011,Jan,1,1,6,Night
2011-01-05,Spring,2011,Jan,2,1,2,Night
2011-01-05,Spring,2011,Jan,4,1,2,Night
2011-01-05,Spring,2011,Jan,5,1,3,Night
2011-01-05,Spring,2011,Jan,6,1,33,Morning
2011-01-05,Spring,2011,Jan,7,1,88,Morning
2011-01-05,Spring,2011,Jan,8,1,195,Morning
2011-01-05,Spring,2011,Jan,9,1,115,Morning
2011-01-05,Spring,2011,Jan,10,1,57,Afternoon
2011-01-05,Spring,2011,Jan,11,1,46,Afternoon
2011-01-05,Spring,2011,Jan,12,1,79,Afternoon
2011-01-05,Spring,2011,Jan,13,1,71,Afternoon
2011-01-05,Spring,2011,Jan,14,1,62,Afternoon
2011-01-05,Spring,2011,Jan,15,1,62,Afternoon
2011-01-05,Spring,2011,Jan,16,1,89,Evening
2011-01-05,Spring,2011,Jan,17,1,190,Evening
2011-01-05,Spring,2011,Jan,18,1,169,Evening
2011-01-05,Spring,2011,Jan,19,1,132,Evening
2011-01-05,Spring,2011,Jan,20,1,89,Night
2011-01-05,Spring,2011,Jan,21,1,43,Night
2011-01-05,Spring,2011,Jan,22,1,42,Night
2011-01-05,Spring,2011,Jan,23,1,19,Night
2011-01-06,Spring,2011,Jan,0,1,11,Night
2011-01-06,Spring,2011,Jan,1,1,4,Night
2011-01-06,Spring,2011,Jan,2,1,2,Night
2011-01-06,Spring,2011,Jan,4,1,1,Night
2011-01-06,Spring,2011,Jan,5,1,4,Night
2011-01-06,Spring,2011,Jan,6,1,36,Morning
2011-01-06,Spring,2011,Jan,7,1,95,Morning
2011-01-06,Spring,2011,Jan,8,1,219,Morning
2011-01-06,Spring,2011,Jan,9,1,122,Morning
2011-01-06,Spring,2011,Jan,10,1,45,Afternoon
2011-01-06,Spring,2011,Jan,11,1,59,Afternoon
2011-01-06,Spring,2011,Jan,12,1,84,Afternoon
2011-01-06,Spring,2011,Jan,13,1,67,Afternoon
